index,floretion,x_coord,y_coord,oct
48086,10387092,249,167,47477224
48087,10387095,249,166,47477227
48088,10387105,250,166,47477241
48089,10387106,250,167,47477242
48090,10387108,251,167,47477244
48091,10387111,251,166,47477247
48092,10387129,250,164,47477271
48093,10387130,250,165,47477272
48094,10387132,251,165,47477274
48095,10387135,251,164,47477277
48096,10387209,252,164,47477411
48097,10387210,252,165,47477412
48098,10387212,253,165,47477414
48099,10387215,253,164,47477417
48100,10387217,252,166,47477421
48101,10387218,252,167,47477422
48102,10387220,253,167,47477424
48103,10387223,253,166,47477427
48104,10387233,254,166,47477441
48105,10387234,254,167,47477442
48106,10387236,255,167,47477444
48107,10387239,255,166,47477447
48108,10387257,254,164,47477471
48109,10387258,254,165,47477472
48110,10387260,255,165,47477474
48111,10387263,255,164,47477477
48112,10387401,252,160,47477711
48113,10387402,252,161,47477712
48114,10387404,253,161,47477714
48115,10387407,253,160,47477717
48116,10387409,252,162,47477721
48117,10387410,252,163,47477722
48118,10387412,253,163,47477724
